                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.0039,                 0.5865,                 1.0058,                0.92513,                0.90816,                0.94977,                0.70298,                0.94434,                0.54471,                0.99377,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.0032,                 0.5802,                 1.0039,                0.93907,                0.87415,                0.94662,                0.69874,                0.94798,                0.51259,                0.99995,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.0091,                0.59369,                 1.0139,                0.94234,                0.88945,                0.94814,                0.70058,                0.92416,                0.54113,                0.99529,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.0272,                0.59494,                 1.0218,                0.92687,                0.89456,                0.94559,                0.70404,                0.93831,                0.53351,                 0.9984,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.0024,                0.58854,                 1.0252,                0.93773,                0.90476,                0.95517,                0.71411,                0.93316,                0.52706,                0.99321,              0.0092377,              0.0092377,              0.0092377
                     80,                0.99634,                0.57555,                 1.0039,                0.96637,                0.87977,                0.95336,                0.71335,                0.94715,                0.52273,                 1.0001,              0.0092278,              0.0092278,              0.0092278
                     81,                0.98293,                0.55901,                 1.0004,                0.94418,                0.87415,                0.95291,                 0.7154,                0.91942,                 0.5128,                0.98478,              0.0092179,              0.0092179,              0.0092179
                     82,                  1.001,                0.57426,                0.99391,                0.93916,                0.90136,                0.94924,                0.70303,                0.93116,                0.52506,                 1.0065,               0.009208,               0.009208,               0.009208
                     83,                0.98765,                0.57206,                 1.0028,                0.93052,                0.89796,                0.95364,                0.71702,                0.92258,                0.51199,                0.98976,              0.0091981,              0.0091981,              0.0091981
                     84,                 1.0091,                0.58801,                 1.0097,                0.91337,                0.89655,                0.94922,                0.69695,                  0.943,                0.53189,                0.99144,              0.0091882,              0.0091882,              0.0091882
                     85,                0.98908,                0.57282,                 1.0064,                0.93581,                0.89255,                 0.9596,                0.71001,                0.95382,                0.52528,                 1.0091,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.0123,                0.58061,                 1.0046,                0.93631,                0.90003,                0.95662,                0.71493,                0.91114,                0.51701,                0.97818,              0.0091684,              0.0091684,              0.0091684
                     87,                0.99889,                  0.581,                 1.0042,                0.92909,                0.90816,                0.95783,                0.71167,                0.92595,                0.50956,                0.99347,              0.0091585,              0.0091585,              0.0091585
                     88,                0.97327,                0.55835,                 1.0071,                0.95191,                0.88435,                0.95274,                 0.7011,                0.93698,                0.51492,                0.99917,              0.0091486,              0.0091486,              0.0091486
                     89,                0.97919,                0.55628,                0.99574,                0.97309,                0.90136,                0.96063,                0.71596,                 0.9152,                 0.4979,                0.98573,              0.0091387,              0.0091387,              0.0091387
                     90,                0.98279,                0.56668,                0.99221,                0.96588,                0.89796,                0.95646,                0.71844,                0.91917,                0.50694,                0.97706,              0.0091288,              0.0091288,              0.0091288
                     91,                0.96688,                0.56168,                0.98615,                0.94525,                0.90816,                0.96088,                0.71738,                0.91814,                0.50427,                0.98068,              0.0091189,              0.0091189,              0.0091189
                     92,                0.95477,                0.54787,                0.99278,                0.95885,                0.86395,                0.95875,                0.71529,                0.92884,                0.50919,                0.98654,               0.009109,               0.009109,               0.009109
                     93,                0.95546,                0.55678,                0.99219,                0.93771,                0.90136,                0.95453,                0.70162,                0.96498,                 0.5164,                 0.9989,              0.0090991,              0.0090991,              0.0090991
                     94,                0.95204,                0.54733,                0.98685,                0.94718,                0.90136,                0.95674,                0.72079,                0.91588,                0.49508,                0.97964,              0.0090892,              0.0090892,              0.0090892
                     95,                0.96135,                0.55595,                0.99087,                0.92425,                0.92857,                0.95619,                0.71966,                0.91098,                0.50101,                0.97422,              0.0090793,              0.0090793,              0.0090793
                     96,                0.96786,                0.54859,                0.99292,                0.93387,                 0.9127,                0.95711,                0.72548,                0.88875,                0.48711,                0.96994,              0.0090694,              0.0090694,              0.0090694
                     97,                0.96921,                0.55233,                0.99401,                0.94532,                0.88201,                0.95565,                0.71455,                0.90858,                0.50396,                0.97899,              0.0090595,              0.0090595,              0.0090595
                     98,                0.95004,                0.55444,                0.99256,                0.93316,                0.90222,                0.96059,                  0.724,                0.89381,                0.48814,                0.96745,              0.0090496,              0.0090496,              0.0090496
